epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
158,22244.2,0.63657,0.8572,0.99737,0.44003,0.014457,0.004819,0.014457,0.004819,0.014457,0.004819,0.014457,0.004819
159,22325.4,0.64982,0.85781,0.99737,0.44003,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
160,22407.7,0.64179,0.85882,0.99737,0.43677,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
161,22488.5,0.64251,0.86085,0.99757,0.43049,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
162,22567,0.63919,0.86125,0.99757,0.42912,0.014061,0.004687,0.014061,0.004687,0.014061,0.004687,0.014061,0.004687
163,22648.2,0.63204,0.86348,0.99757,0.42748,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
164,22722,0.62975,0.8649,0.99737,0.42175,0.013863,0.004621,0.013863,0.004621,0.013863,0.004621,0.013863,0.004621
165,22814.2,0.61742,0.86652,0.99737,0.42179,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
166,22888.8,0.6131,0.86854,0.99757,0.4195,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
167,23038.9,0.60543,0.86996,0.99757,0.4136,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
168,23120.1,0.6136,0.87118,0.99716,0.4134,0.013467,0.004489,0.013467,0.004489,0.013467,0.004489,0.013467,0.004489
169,23201.2,0.60457,0.8732,0.99716,0.409,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
170,23281.9,0.61518,0.87462,0.99716,0.40422,0.013269,0.004423,0.013269,0.004423,0.013269,0.004423,0.013269,0.004423
171,23364.8,0.60933,0.87665,0.99696,0.40208,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
172,23447.9,0.59918,0.87746,0.99696,0.39968,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
173,23529.8,0.58139,0.87725,0.99696,0.39679,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
174,23612.2,0.60309,0.87786,0.99696,0.39498,0.012873,0.004291,0.012873,0.004291,0.012873,0.004291,0.012873,0.004291
175,23692.5,0.59298,0.87847,0.99716,0.39337,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
176,23776.4,0.58485,0.88191,0.99716,0.38849,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
177,23856.4,0.57919,0.88292,0.99716,0.38702,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
178,23936.1,0.57982,0.88414,0.99716,0.38573,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
179,24020.9,0.56389,0.88637,0.99716,0.38236,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
180,24105.2,0.57254,0.88799,0.99716,0.37756,0.012279,0.004093,0.012279,0.004093,0.012279,0.004093,0.012279,0.004093
181,24187.7,0.57545,0.88839,0.99716,0.37521,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
182,24271,0.56357,0.88981,0.99716,0.37288,0.012081,0.004027,0.012081,0.004027,0.012081,0.004027,0.012081,0.004027
183,24354.2,0.55131,0.89143,0.99716,0.3704,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
184,24436.9,0.54739,0.89325,0.99716,0.36841,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
185,24517.9,0.55156,0.89528,0.99716,0.36644,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
186,24597,0.5436,0.89508,0.99716,0.36332,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
187,24674.3,0.53277,0.89751,0.99716,0.35945,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
188,24752,0.54259,0.89893,0.99716,0.3578,0.011487,0.003829,0.011487,0.003829,0.011487,0.003829,0.011487,0.003829
189,25075.2,0.53731,0.89913,0.99716,0.3557,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
190,25153.5,0.54038,0.90075,0.99716,0.35373,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
191,25234.3,0.5354,0.90156,0.99716,0.35235,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
192,25330.5,0.5096,0.90217,0.99737,0.34591,0.011091,0.003697,0.011091,0.003697,0.011091,0.003697,0.011091,0.003697
193,25430.6,0.51329,0.90359,0.99737,0.34446,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
194,25508.7,0.51371,0.90399,0.99737,0.34184,0.010893,0.003631,0.010893,0.003631,0.010893,0.003631,0.010893,0.003631
195,25589.2,0.51499,0.905,0.99737,0.33969,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
196,25670.8,0.51062,0.90703,0.99737,0.33791,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
197,25752.2,0.5017,0.90764,0.99737,0.33637,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
198,25832.9,0.49909,0.90885,0.99696,0.33316,0.010497,0.003499,0.010497,0.003499,0.010497,0.003499,0.010497,0.003499
199,25911.7,0.51303,0.90905,0.99696,0.32946,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
200,25989.5,0.49636,0.91047,0.99716,0.32984,0.010299,0.003433,0.010299,0.003433,0.010299,0.003433,0.010299,0.003433
